r_d,theta,repetition,kappa,genetic_entropy,phenotype_entropy,rectime
0.1,0.0,4,2.453137614487607,2.394091840874556,0.27967814336531127,69.0
0.1,0.0,5,2.4540850777518477,2.3304774363966967,0.25832584205297443,63.0
0.1,0.0,6,2.413341261129566,2.3836942518140236,0.2874691153704445,74.0
0.1,0.0,7,2.404779855959194,2.342236786291263,0.2701134214485761,73.0
0.1,0.0,8,2.459320739272982,2.3537692542702113,0.26729863665223136,70.0
0.1,0.0,9,2.3995136884544954,2.373045755983725,0.2773655781396191,76.0
0.1,0.1,0,2.369705259671236,2.5279526979767355,0.33792542944287884,61.0
0.1,0.1,1,2.2670924226687053,2.6550315112518925,0.40254838722142183,72.0
0.1,0.1,2,2.3301178221064967,2.545163877079148,0.34778360774773504,69.0
0.1,0.1,3,2.4925543241062176,2.478096646103065,0.32145298732562533,72.0
0.1,0.1,4,2.504179712599313,2.4382970123215912,0.3117569575127473,74.0
0.1,0.1,5,2.4627952462192075,2.5445710982528342,0.3314136116874028,77.0
0.1,0.1,6,2.442841562256935,2.5319335050474083,0.32980177660482285,93.0
0.1,0.1,7,2.485859877384492,2.439689520025396,0.2966152445944757,70.0
0.1,0.1,8,2.4485928860208506,2.5242199901469218,0.3429605901690041,98.0
0.1,0.1,9,2.4983187484540883,2.460574456154873,0.31128682857165063,83.0
0.1,0.2,0,2.472247773387364,2.5583748209172548,0.37154144179028153,87.0
0.1,0.2,1,2.540688145488337,2.6110878834742537,0.3854799190805312,107.0
0.1,0.2,2,2.5925614000582313,2.5247112426461076,0.34638840822114564,118.0
0.1,0.2,3,2.4212001407725623,2.6919860986345636,0.40808706131714967,101.0
0.1,0.2,4,2.424078330290729,2.6736713476131975,0.4049638328568167,99.0
0.1,0.2,5,2.411013845663951,2.686062726190912,0.39785089227539683,86.0
0.1,0.2,6,2.504672550941577,2.560694334404863,0.35987189512447476,83.0
0.1,0.2,7,2.3532143868506186,2.688526664638751,0.4229520333519684,106.0
0.1,0.2,8,2.4760802441403853,2.615222015702279,0.37254435321670765,84.0
0.1,0.2,9,2.5448814566078077,2.5611508042067683,0.3700758774100595,91.0
0.1,0.30000000000000004,0,2.684256641461079,2.7161484363285537,0.40817414145668285,145.0
0.1,0.30000000000000004,1,2.71550904491114,2.631951105586623,0.3800789478549002,170.0
0.1,0.30000000000000004,2,2.3900987978226937,2.8680938480240994,0.49590192410397094,141.0
0.1,0.30000000000000004,3,2.5471995282376185,2.743253266740393,0.42072051940345184,130.0
0.1,0.30000000000000004,4,2.7883895568384927,2.5573993342515076,0.3576907368283523,187.0
0.1,0.30000000000000004,5,2.715912790989757,2.6796398170738094,0.3953831649263806,117.0
0.1,0.30000000000000004,6,2.73776164674106,2.655500875883485,0.39270155890779945,136.0
0.1,0.30000000000000004,7,2.7052069725341403,2.66500268249178,0.3947933486816709,171.0
0.1,0.30000000000000004,8,2.647943807370155,2.6416537646211955,0.3955089254329308,136.0
0.1,0.30000000000000004,9,2.6544149556842966,2.729883203560821,0.40591223112950037,139.0
0.1,0.4,0,2.985432869108848,2.737721827468226,0.4076428404974267,265.0
0.1,0.4,1,2.9948033290342786,2.6485679748380813,0.3775836729768967,244.0
0.1,0.4,2,2.898123052439846,2.785816954500952,0.4316203071225626,245.0
0.1,0.4,3,3.0075358968559467,2.7475925711325093,0.4009883948104694,201.0
0.1,0.4,4,2.781762602390904,2.862810854651015,0.46903990804413337,231.0
0.1,0.4,5,2.818100350511222,2.7842669481080167,0.4284255724046174,203.0
0.1,0.4,6,2.9235096150686357,2.7024886750102386,0.4105396666889153,163.0
0.1,0.4,7,2.9867541198180194,2.70160640924835,0.3916882747175423,278.0
0.1,0.4,8,2.88736166604925,2.767203900833513,0.4374551932686562,349.0
0.1,0.4,9,2.9260245738443333,2.7945214692085787,0.42869867884753216,292.0
0.1,0.5,0,3.230314709560117,2.763947031148452,0.4404331913118735,388.0
0.1,0.5,1,3.2245916919222695,2.815230813266265,0.44271616074161724,488.0
0.1,0.5,2,3.2612475643708603,2.7947061902095025,0.4335035710882526,501.0
0.1,0.5,3,3.180647252796028,2.7636522184888843,0.44334344499452716,335.0
0.1,0.5,4,3.179618734525575,2.8261585299546534,0.46562713896730185,263.0
0.1,0.5,5,3.1884434125056704,2.7917425395669517,0.4540046924310387,361.0
0.1,0.5,6,3.196409383809739,2.8112056452415297,0.45038212966698316,460.0
0.1,0.5,7,3.246069660229855,2.770883807417694,0.43148080818051693,283.0
0.1,0.5,8,3.179805208166372,2.792377792246226,0.4507662281272327,409.0
0.1,0.5,9,3.1967641391392663,2.8393657235537937,0.45163604310413497,473.0
0.1,0.6000000000000001,0,3.5539911642127455,2.9806981277591413,0.5090164126555821,598.0
0.1,0.6000000000000001,1,3.460710153131271,3.0112571535684296,0.535178018272921,462.0
0.1,0.6000000000000001,2,3.5227156213568813,2.966053845872215,0.5150180522067213,321.0
0.1,0.6000000000000001,3,3.517536338147518,2.967668369207426,0.5055880625489058,548.0
0.1,0.6000000000000001,4,3.5317822288204384,2.9788028288943287,0.5086784587614526,492.0
0.1,0.6000000000000001,5,3.665126737308843,2.932506756404721,0.4818515232726507,638.0
0.1,0.6000000000000001,6,3.565152530910049,3.038800763807724,0.5197415305493628,542.0
0.1,0.6000000000000001,7,3.611251449407438,2.941355033628848,0.4865974941323809,536.0
0.1,0.6000000000000001,8,3.5171675500141237,3.0091443504637656,0.5170154656672316,516.0
0.1,0.6000000000000001,9,3.5977996119918965,2.9718409838926445,0.5034587705355161,622.0
0.1,0.7000000000000001,0,3.7721097191627377,3.181534912041789,0.6234425023802181,445.0
0.1,0.7000000000000001,1,3.6415088354886964,3.246780688279263,0.6531509817437267,430.0
0.1,0.7000000000000001,2,3.9047312804036163,3.2293501281023467,0.6238553348421119,500.0
0.1,0.7000000000000001,3,3.802974430040501,3.2535200198241725,0.6315473941456065,439.0
0.1,0.7000000000000001,4,3.7903798887828017,3.2605544936118194,0.6299085607475736,472.0
0.1,0.7000000000000001,5,3.687778951967301,3.2057346380890297,0.6430772633717174,520.0
0.1,0.7000000000000001,6,3.868853353664905,3.1798755466398503,0.613295786589074,570.0
0.1,0.7000000000000001,7,3.8342945848152747,3.2436079187243543,0.6178997061116333,485.0
0.1,0.7000000000000001,8,3.8465540947798003,3.220207244229216,0.6166166136953876,575.0
0.1,0.7000000000000001,9,3.79042949493802,3.192267348939798,0.6271030144504333,497.0
0.1,0.8,0,2.1206294783961814,3.248728290989405,0.953725250264787,231.0
0.1,0.8,1,2.165815000674877,3.329325876043892,0.9469067834698077,155.0
0.1,0.8,2,2.186207473366465,3.2712996041417446,0.9424547339548844,167.0
0.1,0.8,3,2.1688182396239473,3.273780922865538,0.9391682144658456,210.0
0.1,0.8,4,2.1653459462281366,3.3346791530642843,0.9436051753568973,171.0
0.1,0.8,5,2.377599309280249,3.295074820071447,0.9370260623939354,187.0
0.1,0.8,6,2.188911818402739,3.2770692123393754,0.9436515192948138,174.0
0.1,0.8,7,2.3325065888230188,3.4265598562061994,0.94382229016018,164.0
0.1,0.8,8,2.2972360880558576,3.3679589032852726,0.9386286824984791,185.0
0.1,0.8,9,2.033385152694237,3.3408823564509946,0.9462668573033199,189.0
0.1,0.9,0,-2.4979101928388934,2.97961316519983,0.9759289183722724,100.0
0.1,0.9,1,-2.5329653343368395,2.9743893451633863,0.9794980643136619,86.0
0.1,0.9,2,-2.5211080872395977,2.9809715451013687,0.9785611816672126,72.0
0.1,0.9,3,-2.547477273444867,2.9668951288981287,0.9779667496534163,100.0
0.1,0.9,4,-2.5362653562291575,3.0214039423829457,0.9813823457738953,122.0
0.1,0.9,5,-2.6112181879125256,3.051230484655947,0.9771832167855841,106.0
